balancing_authority_code,balancing_authority_desc
AEC,PowerSouth Energy Cooperative
AECI,"Associated Electric Cooperative, Inc."
AVA,Avista Corporation
AVRN,Avangrid Renewables LLC
AZPS,Arizona Public Service Company
BANC,Balancing Authority of Northern California
BPAT,Bonneville Power Administration
CHPD,Public Utility District No. 1 of Chelan County
CISO,California Independent System Operator
CPLE,Duke Energy Progress East
CPLW,Duke Energy Progress West
CSTO,"Constellation Energy Control and Dispatch, LLC"
DEAA,"Arlington Valley, LLC - AVBA"
DOPD,PUD No. 1 of Douglas County
DUK,Duke Energy Carolinas
EEI,"Electric Energy, Inc."
EPE,El Paso Electric Company
ERCO,"Electric Reliability Council of Texas, Inc."
FMPP,Florida Municipal Power Pool
FPC,Progress Energy Florida
FPL,Florida Power & Light Company
GCPD,"Public Utility District No. 2 of Grant County, Washington"
GRIF,"Griffith Energy, LLC"
GRIS,Gridforce South
GVL,Gainesville Regional Utilities
GWA,"NaturEner Power Watch, LLC (GWA)"
HECO,Hawaiian Electric Co Inc
HGMA,"New Harquahala Generating Company, LLC - HGBA"
HST,City of Homestead
IID,Imperial Irrigation District
IPCO,Idaho Power Company
ISNE,ISO New England Inc.
JEA,JEA
LDWP,Los Angeles Department of Water and Power
LGEE,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities
MISO,"Midcontinent Independent Transmission System Operator, Inc.."
NA,No Balancing Authority provided
NBSO,New Brunswick System Operator
NEVP,Nevada Power Company
NSB,"New Smyrna Beach, Utilities Commission of"
NWMT,NorthWestern Energy (NWMT)
NYIS,New York Independent System Operator
OVEC,Ohio Valley Electric Corporation
PACE,PacifiCorp - East
PACW,PacifiCorp - West
PGE,Portland General Electric Company
PJM,"PJM Interconnection, LLC"
PNM,Public Service Company of New Mexico
PSCO,Public Service Company of Colorado
PSEI,Puget Sound Energy
SC,South Carolina Public Service Authority
SCEG,South Carolina Electric & Gas Company
SCL,Seattle City Light
SEC,Seminole Electric Cooperative
SEPA,Southeastern Power Administration
SOCO,"Southern Company Services, Inc. - Trans"
SPA,Southwestern Power Administration
SRP,Salt River Project
SWPP,Southwest Power Pool
TAL,City of Tallahassee
TEC,Tampa Electric Company
TEPC,Tucson Electric Power Company
TIDC,Turlock Irrigation District
TPWR,"City of Tacoma, Department of Public Utilities, Light Division"
TVA,Tennessee Valley Authority
WACM,Western Area Power Administration - Rocky Mountain Region
WALC,Western Area Power Administration - Desert Southwest Region
WAUW,Western Area Power Administration UGP West
WWA,"NaturEner Wind Watch, LLC"
YAD,"Alcoa Power Generating, Inc. - Yadkin Division"
